tamanio,costo_prom,costo_moda,costo_var,costo_min,costo_max,dens_celda_t2,dens_celda_t3,dens_total,entropia_costos,gradiente_prom,bfs_costo,bfs_nodos,bfs_tiempo,a_star_costo,a_star_nodos,a_star_tiempo,ucs_costo,ucs_nodos,ucs_tiempo,greedy_costo,greedy_nodos,greedy_tiempo,mejor_alg
10,1.51,1.0,0.46990000000000004,0,3,0.32,0.1,0.42000000000000004,0.9613369651270808,0.7277777777777777,31,100,0.0004458427429199219,19,62,0.0007190704345703125,19,99,0.00034809112548828125,25,19,7.510185241699219e-05,A*
5,1.36,1.0,0.39039999999999997,0,3,0.32,0.04,0.36,0.9286244108693272,0.575,10,25,6.890296936035156e-05,9,22,8.463859558105469e-05,9,25,7.104873657226562e-05,11,9,2.6464462280273438e-05,A*
4,1.625,1.5,0.734375,0,3,0.3125,0.1875,0.5,1.2123138802671547,0.875,11,16,4.291534423828125e-05,8,14,4.982948303222656e-05,8,15,5.91278076171875e-05,8,7,2.0742416381835938e-05,Greedy
10,1.49,1.0,0.46989999999999993,0,3,0.3,0.1,0.4,0.9488053702856657,0.7277777777777777,28,100,0.0002605915069580078,19,52,0.00024390220642089844,19,100,0.0003364086151123047,25,19,6.341934204101562e-05,A*
6,1.6111111111111112,1.5,0.5709876543209876,0,3,0.3611111111111111,0.1388888888888889,0.5,1.0958478812859391,0.8666666666666667,16,36,8.845329284667969e-05,13,32,0.000125885009765625,13,36,0.00010323524475097656,13,11,3.5762786865234375e-05,Greedy
6,1.5833333333333333,1.0,0.6875,0,3,0.2222222222222222,0.19444444444444445,0.41666666666666663,1.0787536926809516,0.85,15,36,8.416175842285156e-05,14,33,0.00011944770812988281,14,36,0.0001049041748046875,14,11,3.314018249511719e-05,Greedy
3,1.5555555555555556,2.0,0.6913580246913581,0,3,0.4444444444444444,0.1111111111111111,0.5555555555555556,1.2148896539491203,1.0,6,9,2.5987625122070312e-05,6,9,3.0040740966796875e-05,6,9,2.09808349609375e-05,6,5,1.1920928955078125e-05,Greedy
7,1.346938775510204,1.0,0.3898375676801332,0,3,0.24489795918367346,0.061224489795918366,0.30612244897959184,0.8612189472564595,0.5238095238095238,17,49,0.00011324882507324219,12,28,0.00011539459228515625,12,49,0.0001494884490966797,16,13,4.124641418457031e-05,A*
5,1.44,1.0,0.4864,0,3,0.32,0.08,0.4,1.020130652501313,0.775,13,25,6.008148193359375e-05,11,26,9.059906005859375e-05,11,25,6.771087646484375e-05,11,9,2.86102294921875e-05,Greedy
5,1.24,1.0,0.2624,0,2,0.28,0.0,0.28,0.7474359091744861,0.5,9,25,5.9604644775390625e-05,9,25,8.702278137207031e-05,9,25,6.866455078125e-05,10,9,2.5987625122070312e-05,BFS
6,1.3611111111111112,1.0,0.3973765432098766,0,3,0.2777777777777778,0.05555555555555555,0.33333333333333337,0.9021713757496993,0.6333333333333333,13,36,8.225440979003906e-05,11,30,0.00011396408081054688,11,36,0.00010085105895996094,14,11,3.218650817871094e-05,A*
10,1.4,1.0,0.4,0,3,0.27,0.07,0.34,0.8657287963008864,0.65,25,100,0.00025200843811035156,19,56,0.000255584716796875,19,100,0.00032448768615722656,20,19,6.389617919921875e-05,A*
6,1.5555555555555556,1.0,0.5802469135802469,0,3,0.3055555555555556,0.1388888888888889,0.4444444444444445,1.073286211591806,0.7333333333333333,17,36,8.392333984375e-05,13,27,0.0001201629638671875,13,36,0.00010347366333007812,17,11,3.314018249511719e-05,A*
6,1.3055555555555556,1.0,0.3233024691358024,0,3,0.2777777777777778,0.027777777777777776,0.3055555555555556,0.8252094146146892,0.5666666666666667,12,36,8.416175842285156e-05,11,30,0.0001316070556640625,11,36,0.00010442733764648438,12,11,3.2901763916015625e-05,A*
7,1.489795918367347,1.0,0.5764264889629321,0,3,0.22448979591836735,0.14285714285714285,0.36734693877551017,0.9931643696609544,0.8095238095238095,17,49,0.00013065338134765625,13,30,0.0001270771026611328,13,48,0.00014352798461914062,21,13,4.124641418457031e-05,A*
3,1.1111111111111112,1.0,0.3209876543209877,0,2,0.2222222222222222,0.0,0.2222222222222222,0.848685557726417,0.4166666666666667,6,9,2.7894973754882812e-05,4,7,2.7894973754882812e-05,4,9,2.1696090698242188e-05,4,5,1.239776611328125e-05,Greedy
